,Season,Date,Date_interval,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTP,ATP,PtDiff,HTGSCum,ATGSCum,HTGCCum,ATGCCum,HTGDCum,ATGDCum,HTPCum,ATPCum,PtDiffCum,HStreak,AStreak,oddsH,oddsD,oddsA
0,2005/2006,2005-08-13,2005-08-13,Aston Villa,Bolton,2,2,D,2,2,2,2,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.1666666666666665,3.1666666666666665,3.0833333333333335
1,2005/2006,2005-08-13,2005-08-13,Everton,Man United,0,2,A,0,2,2,0,-2,2,0,3,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.383333333333333,3.283333333333333,1.7566666666666666
2,2005/2006,2005-08-13,2005-08-13,Fulham,Birmingham,0,0,D,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.29,3.15,2.856666666666667
3,2005/2006,2005-08-13,2005-08-13,Man City,West Brom,0,0,D,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.6900000000000002,3.35,4.666666666666667
4,2005/2006,2005-08-13,2005-08-13,Middlesbrough,Liverpool,0,0,D,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.7566666666666664,3.1833333333333336,2.3666666666666667
5,2005/2006,2005-08-13,2005-08-13,Portsmouth,Tottenham,0,2,A,0,2,2,0,-2,2,0,3,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.6333333333333333,3.15,2.466666666666667
6,2005/2006,2005-08-13,2005-08-13,Sunderland,Charlton,1,3,A,1,3,3,1,-2,2,0,3,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.2733333333333334,3.15,2.8833333333333333
7,2005/2006,2005-08-13,2005-08-13,West Ham,Blackburn,3,1,H,3,1,1,3,2,-2,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.3333333333333335,3.1666666666666665,2.7833333333333337
8,2005/2006,2005-08-14,2005-08-20,Arsenal,Newcastle,2,0,H,2,0,0,2,2,-2,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.4000000000000001,4.0,7.466666666666666
9,2005/2006,2005-08-14,2005-08-20,Wigan,Chelsea,0,1,A,0,1,2,0,-2,1,0,3,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.333333333333334,4.333333333333333,1.343333333333333
10,2005/2006,2005-08-20,2005-08-20,Birmingham,Man City,1,2,A,1,2,2,1,-1,1,0,3,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.183333333333333,3.1,3.1166666666666667
11,2005/2006,2005-08-20,2005-08-20,Blackburn,Fulham,2,1,H,2,1,1,2,1,-1,3,0,3,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.9333333333333333,3.1333333333333333,3.75
12,2005/2006,2005-08-20,2005-08-20,Charlton,Wigan,1,0,H,1,0,0,2,1,-2,3,0,3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.7666666666666666,3.233333333333333,4.376666666666666
13,2005/2006,2005-08-20,2005-08-20,Liverpool,Sunderland,1,0,H,1,0,0,1,1,-1,3,0,3,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1.3033333333333335,4.5,8.833333333333334
14,2005/2006,2005-08-20,2005-08-20,Man United,Aston Villa,1,0,H,1,0,0,1,1,-1,3,0,3,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,1.2466666666666666,4.933333333333334,10.5
15,2005/2006,2005-08-20,2005-08-20,Newcastle,West Ham,0,0,D,0,0,2,0,-2,0,1,1,0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.6199999999999999,3.4666666666666663,5.05
16,2005/2006,2005-08-20,2005-08-20,Tottenham,Middlesbrough,2,0,H,2,0,0,2,2,-2,3,0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.8999999999999997,3.1666666666666665,3.8333333333333335
17,2005/2006,2005-08-20,2005-08-20,West Brom,Portsmouth,2,1,H,2,1,1,2,1,-1,3,0,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,2.1833333333333336,3.0666666666666664,3.15
18,2005/2006,2005-08-21,2005-08-27,Bolton,Everton,0,1,A,4,1,2,1,2,0,3,3,0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,2.1,3.1333333333333333,3.266666666666667
19,2005/2006,2005-08-21,2005-08-27,Chelsea,Arsenal,1,0,H,7,4,0,2,7,2,6,0,6,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.8999999999999997,3.1666666666666665,3.9166666666666665
20,2005/2006,2005-08-23,2005-08-27,Birmingham,Middlesbrough,0,3,A,3,3,5,0,-2,3,0,3,-3,1.0,0.0,2.0,2.0,-1.0,-2.0,0.0,0.0,-3.0,-1,-1,2.35,3.1333333333333333,2.7833333333333337
21,2005/2006,2005-08-23,2005-08-27,Portsmouth,Aston Villa,1,1,D,2,2,3,1,-1,1,1,1,0,1.0,2.0,4.0,3.0,-2.0,-1.0,0.0,0.0,-3.0,-1,-1,2.4,3.15,2.7000000000000006
22,2005/2006,2005-08-23,2005-08-27,Sunderland,Man City,1,2,A,1,4,3,2,-2,2,0,3,-3,1.0,2.0,4.0,1.0,-2.0,1.0,0.0,3.0,-3.0,-1,1,2.5833333333333335,3.15,2.5166666666666666
23,2005/2006,2005-08-24,2005-08-27,Arsenal,Fulham,4,1,H,4,2,2,4,2,-2,3,0,3,2.0,1.0,0.0,2.0,2.0,-1.0,3.0,0.0,3.0,1,-1,1.24,5.0,10.666666666666666
24,2005/2006,2005-08-24,2005-08-27,Blackburn,Tottenham,0,0,D,0,0,1,2,-1,-2,1,1,0,3.0,4.0,4.0,0.0,1.0,2.0,3.0,3.0,3.0,1,1,2.706666666666667,3.15,2.4
