Season,Date,Date_interval,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTP,ATP,PtDiff,HTGSCum,ATGSCum,HTGCCum,ATGCCum,HTGDCum,ATGDCum,HTPCum,ATPCum,PtDiffCum,HStreak,AStreak,HPrevPos,APrevPos,oddsH,oddsD,oddsA,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2005/2006,2005-08-13,2005-08-13,Aston Villa,Bolton,2,2,D,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1666666666666665,3.1666666666666665,3.0833333333333335,M Riley,3,13,2,6,14,16,7,8,0,2,0,0
2005/2006,2005-08-13,2005-08-13,Everton,Man United,0,2,A,0,2,2,0,-2,2,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.383333333333333,3.283333333333333,1.7566666666666666,G Poll,10,12,5,5,15,14,8,6,3,1,0,0
2005/2006,2005-08-13,2005-08-13,Fulham,Birmingham,0,0,D,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,3.15,2.856666666666667,R Styles,15,7,7,4,12,13,6,6,1,2,0,0
2005/2006,2005-08-13,2005-08-13,Man City,West Brom,0,0,D,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6900000000000002,3.35,4.666666666666667,C Foy,15,13,8,3,13,11,3,6,2,3,0,0
2005/2006,2005-08-13,2005-08-13,Middlesbrough,Liverpool,0,0,D,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7566666666666664,3.1833333333333336,2.3666666666666667,M Halsey,4,16,2,7,17,11,5,0,2,3,1,0
2005/2006,2005-08-13,2005-08-13,Portsmouth,Tottenham,0,2,A,0,2,2,0,-2,2,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6333333333333333,3.15,2.466666666666667,B Knight,11,11,7,6,13,23,7,2,0,2,0,0
2005/2006,2005-08-13,2005-08-13,Sunderland,Charlton,1,3,A,1,3,3,1,-2,2,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2733333333333334,3.15,2.8833333333333333,H Webb,12,14,8,4,15,17,5,5,2,0,0,1
2005/2006,2005-08-13,2005-08-13,West Ham,Blackburn,3,1,H,3,1,1,3,2,-2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3333333333333335,3.1666666666666665,2.7833333333333337,A Wiley,13,11,5,5,11,14,2,6,0,1,0,1
2005/2006,2005-08-14,2005-08-20,Arsenal,Newcastle,2,0,H,2,0,0,2,2,-2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4000000000000001,4,7.466666666666666,S Bennett,15,2,12,1,15,17,8,3,0,1,0,1
2005/2006,2005-08-14,2005-08-20,Wigan,Chelsea,0,1,A,0,1,2,0,-2,1,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333333334,4.333333333333333,1.343333333333333,M Clattenburg,12,20,5,9,14,7,2,6,1,0,0,0
2005/2006,2005-08-20,2005-08-20,Birmingham,Man City,1,2,A,1,2,2,1,-1,1,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.183333333333333,3.1,3.1166666666666667,M Clattenburg,9,9,2,6,7,12,9,4,3,1,0,0
2005/2006,2005-08-20,2005-08-20,Blackburn,Fulham,2,1,H,2,1,1,2,1,-1,3,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,1.9333333333333333,3.1333333333333333,3.75,H Webb,16,8,9,4,26,14,8,1,2,2,0,0
2005/2006,2005-08-20,2005-08-20,Charlton,Wigan,1,0,H,1,0,0,2,1,-2,3,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1.7666666666666666,3.233333333333333,4.376666666666666,R Styles,21,4,10,0,10,11,4,4,0,1,0,0
2005/2006,2005-08-20,2005-08-20,Liverpool,Sunderland,1,0,H,1,0,0,1,1,-1,3,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,1.3033333333333335,4.5,8.833333333333334,B Knight,15,2,6,0,8,20,5,5,2,3,0,1
2005/2006,2005-08-20,2005-08-20,Man United,Aston Villa,1,0,H,1,0,0,1,1,-1,3,0,3,2,2,0,2,0,0,0,0,0,0,0,0,0,1.2466666666666666,4.933333333333334,10.5,P Dowd,18,3,12,3,13,21,11,7,2,1,0,0
2005/2006,2005-08-20,2005-08-20,Newcastle,West Ham,0,0,D,0,0,2,0,-2,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1.6199999999999999,3.4666666666666663,5.05,D Gallagher,14,6,6,1,9,11,10,2,1,1,0,1
2005/2006,2005-08-20,2005-08-20,Tottenham,Middlesbrough,2,0,H,2,0,0,2,2,-2,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1.8999999999999997,3.1666666666666665,3.8333333333333335,M Atkinson,18,12,8,3,16,10,5,6,3,1,0,0
2005/2006,2005-08-20,2005-08-20,West Brom,Portsmouth,2,1,H,2,1,1,2,1,-1,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2.1833333333333336,3.0666666666666664,3.15,M Riley,6,10,2,2,21,19,3,3,4,3,0,0
2005/2006,2005-08-21,2005-08-27,Bolton,Everton,0,1,A,4,1,2,1,2,0,3,3,0,2,0,2,2,0,0,0,0,0,0,0,0,0,2.1,3.1333333333333333,3.266666666666667,A Wiley,16,3,6,1,10,13,8,3,0,1,0,0
2005/2006,2005-08-21,2005-08-27,Chelsea,Arsenal,1,0,H,7,4,0,2,7,2,6,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,1.8999999999999997,3.1666666666666665,3.9166666666666665,G Poll,9,9,6,3,17,21,3,7,2,3,0,0
2005/2006,2005-08-23,2005-08-27,Birmingham,Middlesbrough,0,3,A,3,3,5,0,-2,3,0,3,-3,1,0,2,2,-1,-2,0,0,-3,-1,-1,0,0,2.35,3.1333333333333333,2.7833333333333337,P Dowd,14,8,8,3,14,15,2,2,0,1,0,0
2005/2006,2005-08-23,2005-08-27,Portsmouth,Aston Villa,1,1,D,2,2,3,1,-1,1,1,1,0,1,2,4,3,-2,-1,0,0,-3,-1,-1,0,0,2.4,3.15,2.7000000000000006,G Poll,20,7,11,3,12,10,13,4,3,1,0,1
2005/2006,2005-08-23,2005-08-27,Sunderland,Man City,1,2,A,1,4,3,2,-2,2,0,3,-3,1,2,4,1,-2,1,0,3,-3,-1,1,0,0,2.5833333333333335,3.15,2.5166666666666666,P Walton,15,12,10,7,10,10,5,3,1,2,0,0
2005/2006,2005-08-24,2005-08-27,Arsenal,Fulham,4,1,H,4,2,2,4,2,-2,3,0,3,2,1,0,2,2,-1,3,0,3,1,-1,0,0,1.24,5,10.666666666666666,M Clattenburg,20,8,14,3,16,11,6,7,5,2,0,0
2005/2006,2005-08-24,2005-08-27,Blackburn,Tottenham,0,0,D,0,0,1,2,-1,-2,1,1,0,3,4,4,0,1,2,3,3,3,1,1,0,0,2.706666666666667,3.15,2.4,D Gallagher,11,1,7,1,15,12,7,0,2,2,1,0
2005/2006,2005-08-24,2005-08-27,Bolton,Newcastle,2,0,H,4,0,2,2,2,-2,3,0,3,2,0,2,2,2,-2,3,0,0,0,-1,0,0,2.1333333333333333,3.1999999999999997,3.116666666666667,R Styles,14,7,6,4,12,17,4,3,0,1,0,0
2005/2006,2005-08-24,2005-08-27,Chelsea,West Brom,4,0,H,7,2,0,7,7,-5,6,0,6,1,2,0,1,7,0,6,1,6,0,0,0,0,1.1733333333333331,5.666666666666667,14.333333333333334,M Halsey,11,0,8,0,10,7,9,1,0,1,0,0
2005/2006,2005-08-27,2005-08-27,Aston Villa,Blackburn,1,0,H,2,0,1,1,1,-1,3,0,3,2,3,3,4,0,-2,1,0,0,0,-1,0,0,2,3.216666666666667,3.4166666666666665,M Clattenburg,10,9,3,2,13,16,4,11,2,2,0,0
2005/2006,2005-08-27,2005-08-27,Fulham,Everton,1,0,H,2,1,4,1,-2,0,3,3,0,1,0,2,2,0,0,1,3,0,0,0,0,0,2.3833333333333333,3.1333333333333333,2.733333333333333,M Riley,9,6,4,2,19,25,6,2,1,2,0,1
2005/2006,2005-08-27,2005-08-27,Man City,Portsmouth,2,1,H,4,2,2,3,2,-1,3,0,3,2,1,1,4,0,-1,1,0,0,0,-1,0,0,1.6366666666666667,3.4,5.033333333333333,A Wiley,16,7,9,2,13,17,12,3,1,2,0,0
