,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Date_interval,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTP,ATP,PtDiff
0,2005-08-13,Aston Villa,Bolton,2,2,D,2005-08-13,2,2,2,2,0,0,1,1,0
1,2005-08-13,Everton,Man United,0,2,A,2005-08-13,0,2,2,2,-2,0,0,3,-3
2,2005-08-13,Fulham,Birmingham,0,0,D,2005-08-13,0,0,0,0,0,0,1,1,0
3,2005-08-13,Man City,West Brom,0,0,D,2005-08-13,0,0,0,0,0,0,1,1,0
4,2005-08-13,Middlesbrough,Liverpool,0,0,D,2005-08-13,0,0,0,0,0,0,1,1,0
5,2005-08-13,Portsmouth,Tottenham,0,2,A,2005-08-13,0,2,2,2,-2,0,0,3,-3
6,2005-08-13,Sunderland,Charlton,1,3,A,2005-08-13,1,3,3,3,-2,0,0,3,-3
7,2005-08-13,West Ham,Blackburn,3,1,H,2005-08-13,3,1,1,1,2,0,3,0,3
8,2005-08-14,Arsenal,Newcastle,2,0,H,2005-08-20,2,0,0,0,2,0,3,0,3
9,2005-08-14,Wigan,Chelsea,0,1,A,2005-08-20,0,1,2,2,-2,-1,0,3,-3
10,2005-08-20,Birmingham,Man City,1,2,A,2005-08-20,1,2,2,2,-1,0,0,3,-3
11,2005-08-20,Blackburn,Fulham,2,1,H,2005-08-20,2,1,1,1,1,0,3,0,3
12,2005-08-20,Charlton,Wigan,1,0,H,2005-08-20,1,0,0,0,1,0,3,0,3
13,2005-08-20,Liverpool,Sunderland,1,0,H,2005-08-20,1,0,0,0,1,0,3,0,3
14,2005-08-20,Man United,Aston Villa,1,0,H,2005-08-20,1,0,0,0,1,0,3,0,3
15,2005-08-20,Newcastle,West Ham,0,0,D,2005-08-20,0,0,2,2,-2,-2,1,1,0
16,2005-08-20,Tottenham,Middlesbrough,2,0,H,2005-08-20,2,0,0,0,2,0,3,0,3
17,2005-08-20,West Brom,Portsmouth,2,1,H,2005-08-20,2,1,1,1,1,0,3,0,3
18,2005-08-21,Bolton,Everton,0,1,A,2005-08-27,4,1,2,2,2,-1,3,3,0
19,2005-08-21,Chelsea,Arsenal,1,0,H,2005-08-27,7,4,0,0,7,4,6,0,6
20,2005-08-23,Birmingham,Middlesbrough,0,3,A,2005-08-27,3,3,5,5,-2,-2,0,3,-3
21,2005-08-23,Portsmouth,Aston Villa,1,1,D,2005-08-27,2,2,3,3,-1,-1,1,1,0
22,2005-08-23,Sunderland,Man City,1,2,A,2005-08-27,1,4,3,3,-2,1,0,3,-3
23,2005-08-24,Arsenal,Fulham,4,1,H,2005-08-27,4,2,2,2,2,0,3,0,3
24,2005-08-24,Blackburn,Tottenham,0,0,D,2005-08-27,0,0,1,1,-1,-1,1,1,0
