,Season,Date,Date_interval,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTP,ATP,PtDiff,HTGSCum,ATGSCum,HTGCCum,ATGCCum,HTGDCum,ATGDCum,HTPCum,ATPCum,HSCum,ASCum,HSTCum,ASTCum,HFCum,AFCum,HCCum,ACCum,HYCum,AYCum,HRCum,ARCum,PtDiffCum,HStreak,AStreak,HPrevPos,APrevPos,oddsH,oddsD,oddsA
0,2005/2006,2005-08-13,2005-08-13,Aston Villa,Bolton,2,2,D,2,2,2,2,0,0,3,13,2,6,14,16,7,8,0,2,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.1666666666666665,3.1666666666666665,3.0833333333333335
1,2005/2006,2005-08-13,2005-08-13,Everton,Man United,0,2,A,0,2,2,0,-2,2,10,12,5,5,15,14,8,6,3,1,0,0,0,3,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,4.383333333333333,3.283333333333333,1.7566666666666666
2,2005/2006,2005-08-13,2005-08-13,Fulham,Birmingham,0,0,D,0,0,0,0,0,0,15,7,7,4,12,13,6,6,1,2,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.29,3.15,2.856666666666667
3,2005/2006,2005-08-13,2005-08-13,Man City,West Brom,0,0,D,0,0,0,0,0,0,15,13,8,3,13,11,3,6,2,3,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.6900000000000002,3.35,4.666666666666667
4,2005/2006,2005-08-13,2005-08-13,Middlesbrough,Liverpool,0,0,D,0,0,0,0,0,0,4,16,2,7,17,11,5,0,2,3,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.7566666666666664,3.1833333333333336,2.3666666666666667
5,2005/2006,2005-08-13,2005-08-13,Portsmouth,Tottenham,0,2,A,0,2,2,0,-2,2,11,11,7,6,13,23,7,2,0,2,0,0,0,3,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.6333333333333333,3.15,2.466666666666667
6,2005/2006,2005-08-13,2005-08-13,Sunderland,Charlton,1,3,A,1,3,3,1,-2,2,12,14,8,4,15,17,5,5,2,0,0,1,0,3,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.2733333333333334,3.15,2.8833333333333333
7,2005/2006,2005-08-13,2005-08-13,West Ham,Blackburn,3,1,H,3,1,1,3,2,-2,13,11,5,5,11,14,2,6,0,1,0,1,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.3333333333333335,3.1666666666666665,2.7833333333333337
8,2005/2006,2005-08-14,2005-08-20,Arsenal,Newcastle,2,0,H,2,0,0,2,2,-2,15,2,12,1,15,17,8,3,0,1,0,1,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.4000000000000001,4.0,7.466666666666666
9,2005/2006,2005-08-14,2005-08-20,Wigan,Chelsea,0,1,A,0,1,2,0,-2,1,12,20,5,9,14,7,2,6,1,0,0,0,0,3,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,8.333333333333334,4.333333333333333,1.343333333333333
